delta_d,delta_p,delta_h,Solub
18,12.3,7.2,1
17.4,13.7,11.3,1
19.6,8.6,3.7,1
18.2,6.3,6.1,1
18.4,16.4,10.2,0
19,16.6,7.4,1
19,7.4,4.1,0
16.6,8.2,7.4,0
19.2,6.3,3.3,0
16.8,5.7,8,0
15.8,8.2,10.8,0
16,9,5.1,0
15.5,10.4,7,0
16.2,12.1,4.1,0
16.2,9.2,14.3,0
20,18,4.1,0
17.4,4.1,13.5,0
17.8,3.1,5.7,0
18,3.1,5.3,0
19,1.8,7.4,0
15.8,5.3,7.2,0
16,5.1,12.3,0
19,4.3,2,0
16,15.5,4.5,0
16.2,9.2,16.4,0
15.8,3.7,6.3,0
16,5.7,15.8,0
15.3,6.1,4.1,0
15.8,18.8,5.1,0
18,1.4,2,0
15.8,8.8,19.4,0
16.6,12,20.7,0
18.4,0,2,0
14.5,2.9,5.1,0
17,15.5,21.2,0
17.8,0,0.6,0
16.8,9.4,23.3,0
15.1,12.3,22.3,0
14.9,0,0,0
17,11,26,0
17.2,26.2,19,0
