delta_d,delta_p,delta_h,Solub,,
14.5,2.9,4.6,0,Diethyl Ether,Partial Soluble
14.7,12.3,22.3,0,Methanol,Partial Soluble
14.9,4.5,8.2,0,Iso-Propyl Acetate,Partial Soluble
15.3,0,0,0,Heptane,
15.3,18,6.1,1,Acetonitrile,
15.5,10.4,7,1,Acetone,
15.8,8.8,19.4,0,Ethanol,Partial Soluble
16,5.7,15.8,0,1-Butanol,
16,6.8,17.4,0,1-Propanol,
17,7.3,7.1,1,Methylene Chloride,
17,11,26,0,Ethylene Glycol,
17.8,3.1,5.7,1,Chloroform,
18,1.4,2,1,Toluene,
18.1,6.6,9.3,1,"1,3-Dioxolane",
18.4,6.3,13.7,0,Benzyl Alcohol,Partial Soluble
18.4,16.4,10.2,0,Dimethyl Sulfoxide(DMSO),
