accuracy@4,precision@4,recall@4,F1@4,accuracy@3,precision@3,recall@3,F1@3,accuracy@2,precision@2,recall@2,F1@2
0.7538,0.7697,0.7565,0.7142,0.7615,0.7096,0.7998,0.7028,0.8692,0.8847,0.8438,0.8563
0.7059,0.7002,0.7816,0.6956,0.902,0.8439,0.889,0.8529,0.915,0.8872,0.9126,0.8983
0.7701,0.6585,0.7628,0.6739,0.8161,0.725,0.8623,0.7449,0.8563,0.854,0.8564,0.8549
0.8421,0.7663,0.8458,0.7889,0.8947,0.8418,0.9109,0.859,0.9173,0.914,0.9161,0.915
0.7323,0.7255,0.74,0.6965,0.7953,0.7599,0.846,0.7675,0.8819,0.9062,0.879,0.8795
0.6495,0.6636,0.699,0.616,0.701,0.6958,0.7869,0.6676,0.8711,0.8757,0.8492,0.859
0.7846,0.7113,0.8087,0.7327,0.8,0.7366,0.8546,0.7633,0.8538,0.8496,0.8415,0.845
0.7386,0.6908,0.756,0.7008,0.902,0.8439,0.889,0.8529,0.915,0.8872,0.9126,0.8983
0.7471,0.6276,0.7306,0.6478,0.8333,0.7431,0.8742,0.7689,0.8678,0.8658,0.8667,0.8662
0.8271,0.7613,0.8499,0.7813,0.8797,0.8291,0.8987,0.8395,0.9023,0.8985,0.9006,0.8995
0.7402,0.7166,0.7357,0.6919,0.7953,0.7636,0.8486,0.773,0.8661,0.8963,0.8629,0.8627
0.6804,0.6572,0.7226,0.6426,0.7371,0.7064,0.8018,0.6954,0.866,0.858,0.858,0.858
0.8,0.7328,0.853,0.7673,0.8077,0.7486,0.8644,0.779,0.8615,0.8537,0.8583,0.8558
0.6993,0.6625,0.7192,0.6648,0.8758,0.8167,0.8475,0.8162,0.8889,0.8586,0.8732,0.8653
0.8218,0.7175,0.8152,0.748,0.8793,0.8042,0.9109,0.8391,0.8908,0.889,0.89,0.8895
0.8647,0.7917,0.8735,0.8175,0.9023,0.8524,0.9188,0.8714,0.9173,0.914,0.9161,0.915
0.8268,0.814,0.8133,0.7914,0.874,0.8384,0.9075,0.8596,0.9134,0.9276,0.9113,0.9123
0.6959,0.6776,0.7268,0.6573,0.7423,0.7132,0.8121,0.7044,0.8711,0.8794,0.8466,0.858
